English,Thai,Classifier,Type,,,,,
single room,ห้องเดี่ยว,ห้อง,N,,,,,
"work room, office",ห้องทำงาน,ห้อง,N,,,,,
regular room (includes fan),ห้องธรรมดา,ห้อง,N,,,,,
bedroom,ห้องนอน,ห้อง,N,,,,,
"toilet, bathroom",ห้องน้ำ,ห้อง,N,,,,,
(regular) room with fan,ห้องพัดลม,ห้อง,N,,,,,
living room,ห้องรับแขก,ห้อง,N,,,,,
library ,ห้องสมุด,"ห้อง, แห่ง",N,,,,,
"dining room, dining hall",ห้องอาหาร ,ห้อง,N,,,,,
air-conditioned room,ห้องแอร์,ห้อง,N,,,,,
dormitory,หอพัก,แห่ง,N,,,,,
"to kiss (Thai), smell sweet",หอม,,V,,,,,
mollusk,หอย,ตัว,N,,,,,
to dangle,ห้อย,,V,,,,,
oyster,หอยนางรม,ตัว,N,,,,,
"break + object, to break, broken (large things such as bones)",หัก,,V,,,,,
"practice, drill, train",หัด,,V,,,,,
"to turn around, face about, move around",หัน,,V,,,,,
"to cut into pieces, to slice",หั่น,,V,,,,,
head,หัว,หัว,N,,,,,
knee,หัวเข่า,หัวเข่า,N,,,,,
early in the evening (6 pm - 9 pm),หัวค่ำ,,Adv phrase,,,,,
heart,หัวใจ,ดวง,N,,,,,
to laugh,หัวเราะ,,V,,,,,
boss,หัวหน้า,คน,N,,,,,
onion,หัวหอม,หัว,N,,,,,
"to see, visit, to look for, seek",หา,,V,,,,,
five (5),ห้า ๕,,N,,,,,
if,หาก,,Conj,,,,,
"tail, end, back",หาง,,N,,,,,
"distant, far apart, separate",ห่าง,,"Adj, Adv",,,,,
"department store, business firm, commercial establishment, large store",ห้าง,แห่ง,N,,,,,
shopping mall (formal),ห้างสรรพสินค้า,แห่ง,N,,,,,
earn money,หาเงิน,,V,,,,,
to find something you were looking for,หาเจอ,,V,,,,,
goose,ห่าน,ตััว,N,,,,,
to forbid,ห้าม,,V,,,,,
to be unable to find,หาไม่เจอ,,V,,,,,
"to disappear, vanish, to be missing, be lost from sight ",หาย (ไป),,V,,,,,
to breathe,หายใจ,,V,,,,,
can’t breathe,หายใจไม่ออก,,V,,,,,
to recover ,หายป่วย,,V,,,,,
intersection (five way),ห้าแยก," แห่ง, ที่",N,,,,,
divide,หาร,,V,,,,,
"rock, stone",หิน,ก้อน,N,,,,,
snow,หิมะ,"ก้อน, เกล็ด",N,,,,,
hungry,หิว,,Adj,,,,,
to be hungry,หิวข้าว,,Adj,,,,,
to be thirsty,หิวน้ำ,,Adj,,,,,
"box, chest",หีบ,"หีบ, ใบ",N,,,,,
to cook (especially rice),หุง,,N,,,,,
"share, stocks",หุ้น,หุ้น,N,,,,,
ears,หู,"หู, ข้าง",N,,,,,
lonely,เหงา,,Adj,,,,,
sweat,เหงื่อ,,N,,,,,
to sweat,เหงื่อออก,,V,,,,,
mushrooms,เห็ด,หัว,N,,,,,
"cause, reason",เหตุ,เหตุ,N,,,,,
reason,เหตุผล,เหตุผล,N,,,,,
to see,เห็น,,V,,,,,
to agree,เห็นด้วย,,V,,,,,
to agree (with),เห็นด้วย (กับ),,V,,,,,
"sticky, tough",เหนียว,,Adj,,,,,
"north, above",เหนือ,,"Adj, Adv",,,,,
"to be tired, fatigued",เหนื่อย,,Adj,,,,,
to smell bad,เหม็น,,Adj,,,,,
"suitable, appropriate",เหมาะ,,Adj,,,,,
to be appropriate,เหมาะสม,,Adj,,,,,
"like, as, as if, as though, same, similar ",เหมือน,,Adj,,,,,
"too, also, the same (characteristics and qualities)",เหมือนกัน,,Adj,,,,,
"really?, particle: asking for confirmation ""am I right in assuming that?""",เหรอ,,Adv ,,,,,
"coin, dollars",เหรียญ,"อัน, เหรียญ",N,,,,,
"iron, steel",เหล็ก,"เส้น, ต้น",N,,,,,
great grandchild,เหลน,คน,N,,,,,
unreliable,เหลวไหล,,Adj,,,,,
"or, question word",เหลอ,,Question particle,,,,,
liquor,เหล้า,ชนิด,N,,,,,
"those, that group",เหล่านั้น,,N,,,,,
"these, this group",เหล่านี้,,N,,,,,
"to be left over, remaining",เหลือ,,V,,,,,
excessively,เหลือเกิน,,Adv,,,,,
yellow,เหลือง,สี,"N, Adj",,,,,
"to bark, hiss (of a snake)",เห่า,,V,,,,,
classifier for places,แห่ง,,N,,,,,
to be dry,แห้ง,,Adj,,,,,
"source, location, spot",แหล่ง,"แหล่ง, ที่",N,,,,,
"pointed, sharp point",แหลม,,Adj,,,,,
ring (for the finger),แหวน,วง,N,,,,,
dozen,โหล,,N,,,,,
"to give, offer; permit, allow, consent to",ให้,,V,,,,,
"let, for rent",ให้เช่า,,V,,,,,
"big, large",ใหญ่,,Adj,,,,,
big,ใหญ่ๆ,,Adj,,,,,
"wide, large, roomy",ใหญ่โต ,,Adj,,,,,
"again, new",ใหม่,,Adj,,,,,
"lend, to let someone borrow",ให้ยืม,,V,,,,,
which (one(s); determiner,ไหน,,Adj,,,,,
any,ไหนๆ,,Adj,,,,,
question word,ไหม,,Question particle,,,,,
"to burn (actively burning something, cremate)",ไหม้,,V,,,,,
Thai silk,ไหมไทย,"เส้น, ชนิด",N,,,,,
to flow,ไหล,,V,,,,,
shoulder,ไหล่,"ไหล่, ขา้ง",N,,,,,
"can, be able to, to be physically able, to be up to",ไหว,,Adj,,,,,
chest,อก,อก,N,,,,,
"classifier for Buddha images, King, Queen",องค์,,N,,,,,
organization,องค์การ,แห่ง,N,,,,,
degree,องศา,,N,,,,,
"to refrain, go without, miss out on",อด,,V,,,,,
explain,อธิบาย,,V,,,,,
future,อนาคต,,N,,,,,
permit,อนุญาต,,V,,,,,
nursery (level),อนุบาล,แห่ง,N,,,,,
to roast or bake,อบ,,V,,,,,
warm,อบอุ่น,,Adj,,,,,
apartment (loanword),อพาร์ทเมนท์,หลัง,N,,,,,
American (loanword),อเมริกัน ,,N,,,,,
America (loanword),อเมริกา,,N,,,,,
don’t (for strong or urgent commands),อย่า,,"V, Aux",,,,,
"to want to, like to",อยาก,,V,,,,,
"need, want + noun (polite)",อยากได้,,V,,,,,
"kind, type (with emphasis on quality); classifier of things",อย่าง,,N,,,,,
at least,อย่างน้อย,,Adv,,,,,
"this kind, like this",อย่างนี้,,Adv,,,,,
"like this, in this way",อย่างนี้,,Adv,,,,,
strongly,อย่างแรง,,Adv,,,,,
"how, in what way  (formal)",อย่างไร ,,Adv,,,,,
"anyway, whichever way",อย่างไรก็ตาม,,Adv,,,,,
"wait, don't do that yet!",อย่าเพิ่ง,,V,,,,,
"live, stay; to be located at",อยู่,,V,,,,,
where is it? ,อยู่ที่ไหน,,V phrae,,,,,
"to taste good, delicious",อร่อย,,Adj,,,,,
to vomit,อ้วก ,,V,,,,,
"to show off, flaunt",อวด,,V,,,,,
to be fat,อ้วน,,Adj,,,,,
oh!,อ้อ,,Exclamation,,,,,
oh,อ๋อ,,Exclamation,,,,,
"to exit, to go or come out, to pay out",ออก,,V,,,,,
"pay for, put up the money for, stand good for",อ่อก (เงิน),,V,,,,,
to exercise,ออกกำลัง,,V,,,,,
"to exercise, keep fit",ออกกำลังกาย,,V,,,,,
to leave from,ออกจาก,,V,,,,,
come out,ออกมา,,V,,,,,
to give birth,ออกลูก ,,V,,,,,
"pronounce, voice",ออกเสียง,,V,,,,,
"soft, tender, young, weak, light (colour)",อ่อน,,Adj,,,,,
weak,อ่อนแอ,,Adj,,,,,
office,ออฟฟิศ,"แห่ง, ที่",N,,,,,
"Australia, Australian (loanword)",ออสเตรเลีย ,,N,,,,,
Austria (loanword),ออสเตรีย,,N,,,,,
what ,อะไร,,"Pro, Adj",,,,,
anything,อะไรก็ได้,,Phrase,,,,,
what  ,อะไรนะ,,Interrogative ,,,,,
what (Interrogative),อะไรบ้าง,,Interrogative ,,,,,
alphabet,อักษร,ตัว,N,,,,,
infected,อักเสบ,,Adj,,,,,
"English, England",อังกฤษ,,N,,,,,
"to record, tape, copy ",อัด,,V,,,,,
to be automatic,อัตโนมัติ,,Adj,,,,,
"rate, ratio, tariff",อัตรา,อัตรา,N,,,,,
classifier for things and inanimate objects,อัน,อัน,"N, Class",,,,,
dangerous,อันตราย,,Adj,,,,,
that one,อันนั้น,,N,,,,,
this one,อันนี้,,N,,,,,
that one (further away),อันโน้น,,N,,,,,
"which, which one (question word)",อันไหน,,Pronoun,,,,,
"aunt, uncle (father's younger sibling)",อา,คน,N,,,,,
symptom,อาการ,ชนิด,N,,,,,
"weather, climate, air, or atmosphere",อากาศ,ชนิด,N,,,,,
building (written),อาคาร,หลัง,N,,,,,
basin,อ่าง,อ่าง,N,,,,,
"to be referable, quotable, consultative",อ้างถึง - อ้างอิง,,V,,,,,
sink,อ่างล้างมือ,อ่าง,N,,,,,
wash basin,อ่างล้างหน้า,อ่าง,N,,,,,
bathtub,อ่างอาบน้ำ,อ่าง,N,,,,,
"may, might, maybe",อาจ,,Helping V,,,,,
"may, might",อาจจะ,,Helping V,,,,,
"teacher, professor",อาจารย์,คน,N,,,,,
college or university teacher,อาจารย์,คน,N,,,,,
"to vomit, throw up",อาเจียน,,V,,,,,
profession,อาชีพ,อาชีพ,N,,,,,
"kingdom, territory",อาณาจักร,แห่ง,N,,,,,
week,อาทิตย์,,N,,,,,
last week,อาทิตย์ก่อน,,N,,,,,
last week,อาทิตย์ที่แล้ว,,N,,,,,
this week,อาทิตย์นี้,,N,,,,,
next week,อาทิตย์หน้า,,N,,,,,
to read,อ่าน,,V,,,,,
to read for pleasure,อ่านเล่น,,V,,,,,
"to bathe, take a bath",อาบน้ำ,,V,,,,,
age (in years),อายุ,,N,,,,,
young,อายุน้อย,,Adj,,,,,
Argentina (loanword),อาร์เจนตินา,,N,,,,,
feeling,อารมณ์,แบบ,N,,,,,
gulf,อ่าว,แห่ง,N,,,,,
to dwell,อาศัยอยู่ - อาศัย,,V,,,,,
United Arab Republic,อาหรับ,,N,,,,,
food,อาหาร,มื้อ,N,,,,,
"lunch, noontime meal",อาหารกลางวัน,มื้อ,N,,,,,
dinner,อาหารค่ำ,มื้อ,N,,,,,
Chinese food,อาหารจีน,มื้อ,N,,,,,
breakfast,อาหารเช้า,มื้อ,N,,,,,
Japanese food,อาหารญี่ปุ่น,มื้อ,N,,,,,
lunch (formal),อาหารเที่ยง,มื้อ,N,,,,,
Thai food,อาหารไทย,มื้อ,N,,,,,
food poisoning,อาหารเป็นพิษ,มื้อ,N,,,,,
western food,อาหารฝรั่ง,มื้อ,N,,,,,
dinner,อาหารเย็น,มื้อ,N,,,,,
"power, authority",อำนาจ,,N,,,,,
"district, a subdivision of a changwat",อำเภอ,"อำเภอ, แห่ง",N,,,,,
Italy,อิตาลี ,,N,,,,,
influence (n),อิทธิพล,,N,,,,,
"India, Indian ",อินเดีย ,,N,,,,,
"Indonesia, Indonesian ",อินโดนีเซีย ,,N,,,,,
to be full (from eating) ,อิ่ม,,Adj,,,,,
freedom,อิสรภาพ,,N,,,,,
"to be free, independent",อิสระ,,Adj,,,,,
Israel,อิสราเอล,,N,,,,,
Iran,อิหร่าน,,N,,,,,
"again, once more, more",อีก,,"Adj, Ad",,,,,
"also, as well",อีกด้วย,,Adv,,,,,
again,อีกที,,Adv,,,,,
"for a lot longer, in a long time",อีกนาน,,Adv,,,,,
a little more,อีกหน่อย,,Adv,,,,,
another,อีกอันหนึ่ง,,Adj,,,,,
Egypt,อียิปต์,,N,,,,,
northeast (in Thailand),อีสาน,,N,,,,,
uneasy,อึดอัด,,Adj,,,,,
"other, a different…",อื่น,,Adj,,,,,
"other, others, other ones",อื่นๆ,,Adj,,,,,
temperature,อุณหภูมิ,,N,,,,,
"to get a filling (dental), to fill teeth",อุดฟัน,,V,,,,,
"to support, assist (financially), to patronize",อุดหนุน,,V,,,,,
industry,อุตสาหกรรม,,N,,,,,
to heat,อุ่น,,V,,,,,
equipment,อุปกรณ์,"ชิ้น, ชนิด",N,,,,,
to hold (in one's arms),อุ้ม,,V,,,,,
"garage, workshop",อู่,"อู่, แห่ง",N,,,,,
first rank,เอก,,N,,,,,
"person, individual",เอกชน,,N,,,,,
document,เอกสาร,ฉบับ,N,,,,,
"ambassador (from a monarchy, formal)",เอกอัครราชทูต,คน,N,,,,,
"by himself, herself, themselves, etc., without outside help of influence",เอง,,"Pron, Adv",,,,,
Asia (loanword),เอเซีย ,,N,,,,,
"one (used in combinations like 21, 31)",เอ็ด,,N,,,,,
AIDS,"เอดส์, โรคเอดส์",,N,,,,,
waist,เอว,,N,,,,,
by the way,เออ,,Interjection,,,,,
"to get, take, want (to have) ",เอา,,V,,,,,
"to take away, to take",เอาไป,,V,,,,,
to bring,เอามา,,V,,,,,
question word (will you accept?),เอาไหม,,V,,,,,
to take out,เอาออก,,V,,,,,
"to hide (intransitive), secretly (put before verbs)",แอบ,,V,,,,,
to eat secretly,แอบกิน,,V,,,,,
to peek at,แอบดู,,V,,,,,
apple (loanword),แอปเปิล,"ลูก, ใบ, ผล",N,,,,,
Africa (loanword),แอฟริกา,,N,,,,,
"a/c (informal), air hostess",แอร์,"ตัว, คน",N,,,,,
"opportunity, chance",โอกาส,,N,,,,,
o.k. (loanword),โอเค,,Adj,,,,,
to transfer,โอน,,V,,,,,
iced coffee (black),โอเลี้ยง,แก้ว,N,,,,,
Hong Kong ,ฮ่องกง ,,N,,,,,
Holland,ฮอลันดา,,N,,,,,
polite particle: used in statements and questions by males,ฮะ,,Adv,,,,,
polite particle: used by male and female,ฮ่ะ,,Adv,,,,,
hello (loanword),ฮัลโหล,,V,,,,,
ham (loanword),แฮม,ชิ้น,N,,,,,
